id_partido,Date,Equipo_local,Equipo_visitante,FTR,Prediccion,Prob_H,Prob_D,Prob_A
9521,2025-08-27,Celta,Betis,D,D,0.32118867345215285,0.3601966894328408,0.31861463711500637
9522,2025-08-29,Elche,Levante,H,D,0.31993963078763477,0.3637891382124283,0.316271230999937
9523,2025-08-29,Valencia,Getafe,H,D,0.307314091931607,0.38889545260165,0.30379045546674305
9524,2025-08-30,Alaves,Ath Madrid,D,A,0.20567638994221601,0.32943904570003757,0.4648845643577463
9526,2025-08-30,Girona,Sevilla,A,D,0.3140741056615474,0.36753868192410594,0.3183872124143466
9527,2025-08-30,Real Madrid,Mallorca,H,H,0.5854342504457629,0.23541244853507698,0.17915330101916027
9528,2025-08-31,Celta,Villarreal,D,A,0.27495874844243695,0.3438653127127266,0.38117593884483647
9529,2025-08-31,Betis,Ath Bilbao,A,A,0.25346353337682975,0.36866313842988163,0.3778733281932887
9530,2025-08-31,Espanol,Osasuna,H,D,0.31680194213781804,0.36279183709800034,0.3204062207641816
9531,2025-08-31,Vallecano,Barcelona,D,A,0.17946059985275273,0.23485048733481959,0.5856889128124276
9532,2025-09-12,Sevilla,Elche,D,H,0.3673830249070119,0.3531048090938895,0.2795121659990986
9534,2025-09-13,Sociedad,Real Madrid,A,A,0.183543873132351,0.2651273759394752,0.5513287509281738
9535,2025-09-13,Ath Bilbao,Alaves,A,H,0.40893167386135454,0.3404858587116163,0.2505824674270293
9536,2025-09-13,Ath Madrid,Villarreal,H,A,0.30807773423595025,0.2977376570889495,0.39418460867510025
9537,2025-09-14,Celta,Girona,D,H,0.40628276644421923,0.34458453506130243,0.24913269849447833
9538,2025-09-14,Levante,Betis,D,A,0.2506778626344958,0.3428392954846511,0.40648284188085315
9539,2025-09-14,Osasuna,Vallecano,H,D,0.29786289614906836,0.3775344695879811,0.32460263426295055
9540,2025-09-14,Barcelona,Valencia,H,H,0.6410450291025052,0.21003843333324773,0.14891653756424705
9541,2025-09-15,Espanol,Mallorca,H,D,0.3261678410974313,0.3601300452815287,0.3137021136210401
9542,2025-09-19,Betis,Sociedad,H,H,0.3519973608730289,0.336914375799906,0.3110882633270652
9543,2025-09-20,Girona,Levante,A,D,0.3262929936075948,0.3630323717947806,0.3106746345976248
9544,2025-09-20,Real Madrid,Espanol,H,H,0.5686792917586515,0.2572947228087808,0.17402598543256775
9545,2025-09-20,Alaves,Sevilla,A,D,0.32025946296185515,0.3717209907203875,0.3080195463177574
9546,2025-09-20,Villarreal,Osasuna,H,H,0.44301073533522467,0.31995190347816355,0.23703736118661184
9547,2025-09-20,Valencia,Ath Bilbao,H,D,0.2494631579082098,0.3786274297810391,0.37190941231075103
9548,2025-09-21,Vallecano,Celta,D,D,0.3196974010152831,0.3631672831085512,0.3171353158761656
9549,2025-09-21,Mallorca,Ath Madrid,D,A,0.2036953132699959,0.3358978943031202,0.460406792426884
9551,2025-09-21,Barcelona,Getafe,H,H,0.5802355121610541,0.24681757567483556,0.17294691216411026
9552,2025-09-23,Ath Bilbao,Girona,D,H,0.47165811515438383,0.3460518561953206,0.18229002865029575
9553,2025-09-23,Espanol,Valencia,D,D,0.31556440823097814,0.3809316610548354,0.3035039307141866
9554,2025-09-23,Levante,Real Madrid,A,A,0.17928109052219451,0.24092184864052826,0.5797970608372772
9555,2025-09-23,Sevilla,Villarreal,A,A,0.25791995698900577,0.30660636255397705,0.4354736804570172
9556,2025-09-24,Getafe,Alaves,D,D,0.31344644485174,0.3843844663855411,0.302169088762719
9557,2025-09-24,Ath Madrid,Vallecano,H,H,0.4870623283123983,0.2543112650692482,0.25862640661835345
9558,2025-09-24,Sociedad,Mallorca,H,H,0.3686960722475302,0.35079276974414453,0.28051115800832527
9559,2025-09-25,Osasuna,Elche,D,D,0.3435872695834021,0.36598792574923406,0.2904248046673638
9560,2025-09-25,Oviedo,Barcelona,A,A,0.17852350114667875,0.226254211091267,0.5952222877620542
9561,2025-09-26,Girona,Espanol,D,D,0.31509793093199356,0.3662192461684773,0.3186828228995292
