id_partido,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,B365H,B365D,B365A,temporada
224,2001-02-18,Celta,Vallecano,1,1,D,1,1,D,,,,,,,,,,,,,,,,0001
225,2001-02-18,Mallorca,Ath Bilbao,1,0,H,1,0,H,,,,,,,,,,,,,,,,0001
226,2001-02-18,Numancia,Malaga,3,2,H,1,0,H,,,,,,,,,,,,,,,,0001
227,2001-02-18,Osasuna,Alaves,0,1,A,0,0,D,,,,,,,,,,,,,,,,0001
228,2001-02-18,Sociedad,Espanol,2,1,H,1,1,D,,,,,,,,,,,,,,,,0001
229,2001-02-18,Villarreal,Valladolid,2,1,H,1,0,H,,,,,,,,,,,,,,,,0001
230,2001-02-18,Zaragoza,Oviedo,5,2,H,4,1,H,,,,,,,,,,,,,,,,0001
231,2001-02-24,La Coruna,Real Madrid,2,2,D,0,2,A,,,,,,,,,,,,,,,,0001
232,2001-02-25,Alaves,Celta,2,2,D,1,0,H,,,,,,,,,,,,,,,,0001
233,2001-02-25,Ath Bilbao,Numancia,3,1,H,1,0,H,,,,,,,,,,,,,,,,0001
234,2001-02-25,Barcelona,Sociedad,3,0,H,1,0,H,,,,,,,,,,,,,,,,0001
235,2001-02-25,Malaga,Las Palmas,2,1,H,0,1,A,,,,,,,,,,,,,,,,0001
236,2001-02-25,Oviedo,Osasuna,2,3,A,2,0,H,,,,,,,,,,,,,,,,0001
237,2001-02-25,Vallecano,Espanol,1,1,D,0,1,A,,,,,,,,,,,,,,,,0001
238,2001-02-25,Santander,Mallorca,2,1,H,2,1,H,,,,,,,,,,,,,,,,0001
239,2001-02-25,Valencia,Villarreal,3,1,H,1,1,D,,,,,,,,,,,,,,,,0001
240,2001-02-25,Valladolid,Zaragoza,2,0,H,1,0,H,,,,,,,,,,,,,,,,0001
241,2001-03-03,Mallorca,La Coruna,2,1,H,1,0,H,,,,,,,,,,,,,,,,0001
242,2001-03-03,Real Madrid,Barcelona,2,2,D,2,1,H,,,,,,,,,,,,,,,,0001
243,2001-03-03,Sociedad,Vallecano,2,0,H,1,0,H,,,,,,,,,,,,,,,,0001
244,2001-03-03,Zaragoza,Valencia,1,1,D,1,0,H,,,,,,,,,,,,,,,,0001
245,2001-03-04,Celta,Oviedo,1,0,H,0,0,D,,,,,,,,,,,,,,,,0001
246,2001-03-04,Espanol,Alaves,0,0,D,0,0,D,,,,,,,,,,,,,,,,0001
247,2001-03-04,Las Palmas,Ath Bilbao,0,0,D,0,0,D,,,,,,,,,,,,,,,,0001
248,2001-03-04,Numancia,Santander,1,0,H,1,0,H,,,,,,,,,,,,,,,,0001
249,2001-03-04,Osasuna,Valladolid,2,1,H,0,0,D,,,,,,,,,,,,,,,,0001
250,2001-03-04,Villarreal,Malaga,1,2,A,0,1,A,,,,,,,,,,,,,,,,0001
251,2001-03-10,Ath Bilbao,Villarreal,1,1,D,0,1,A,,,,,,,,,,,,,,,,0001
252,2001-03-10,La Coruna,Numancia,4,1,H,0,0,D,,,,,,,,,,,,,,,,0001
253,2001-03-10,Valencia,Osasuna,1,0,H,0,0,D,,,,,,,,,,,,,,,,0001
254,2001-03-11,Alaves,Vallecano,4,2,H,1,1,D,,,,,,,,,,,,,,,,0001
255,2001-03-11,Barcelona,Mallorca,1,1,D,0,0,D,,,,,,,,,,,,,,,,0001
256,2001-03-11,Malaga,Zaragoza,2,0,H,1,0,H,,,,,,,,,,,,,,,,0001
257,2001-03-11,Oviedo,Espanol,2,2,D,1,0,H,,,,,,,,,,,,,,,,0001
258,2001-03-11,Real Madrid,Sociedad,4,0,H,2,0,H,,,,,,,,,,,,,,,,0001
259,2001-03-11,Santander,Las Palmas,2,1,H,0,0,D,,,,,,,,,,,,,,,,0001
260,2001-03-11,Valladolid,Celta,1,2,A,1,0,H,,,,,,,,,,,,,,,,0001
261,2001-03-17,Las Palmas,La Coruna,2,0,H,2,0,H,,,,,,,,,,,,,,,,0001
262,2001-03-18,Celta,Valencia,3,2,H,0,1,A,,,,,,,,,,,,,,,,0001
263,2001-03-18,Espanol,Valladolid,1,0,H,0,0,D,,,,,,,,,,,,,,,,0001
